museum,title,raw_text,year,period,url
Pushkin Museum,Папирус «Путешествие Унамона в Библ». К 200-летию дешифровки древнеегипетских иероглифов,Папирус «Путешествие Унамона в Библ». К 200-летию дешифровки древнеегипетских иероглифов 20 декабря 2022 – 05 февраля 2023,2023,post_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/egypt/index.php?lang=ru
Pushkin Museum,Святослав Рихтер. Театральный роман,Святослав Рихтер. Театральный роман 28 октября 2022 – 12 февраля 2023,2023,post_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/richter/index.php?lang=ru
Pushkin Museum,Кабинет редкостей,Кабинет редкостей 27 сентября 2022 – 29 января 2023,2023,post_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/curiosities_2/index.php?lang=ru
Pushkin Museum,Ответвление,Ответвление 23 ДЕК 2022 - 19 МАР 2023,2023,post_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/wood/index.php?lang=ru
Pushkin Museum,Котел алхимика. Осязательный взгляд и незрительное восприятие. Часть I,Котел алхимика. Осязательный взгляд и незрительное восприятие. Часть I 30 августа – 20 ноября 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/alchemist/index.php?lang=ru
Pushkin Museum,Всеобщий язык,Всеобщий язык 16 ДЕК 2022 - 19 МАР 2023,2023,post_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/babylon/index.php?lang=ru
Pushkin Museum,Брат Иван. Коллекции Михаила и Ивана Морозовых,Брат Иван. Коллекции Михаила и Ивана Морозовых 28 июня – 30 октября 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/morozov/index.php?lang=ru
Pushkin Museum,Кабинет редкостей,Кабинет редкостей 01 июня – 25 сентября 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/curiosities/index.php?lang=ru
Pushkin Museum,Иван Цветаев и его Музей. К 175-летию основателя Музея изящных искусств Ивана Владимировича Цветаева (1847 – 1913) и 110-летию открытия музея,Иван Цветаев и его Музей. К 175-летию основателя Музея изящных искусств Ивана Владимировича Цветаева (1847 – 1913) и 110-летию открытия музея 31 мая – 30 июля 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/tsvetaev/index.php?lang=ru
Pushkin Museum,Между землей и небом,Между землей и небом 26 апреля – 07 августа 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/between/index.php?lang=ru
Pushkin Museum,Мумии Древнего Египта. Искусство бессмертия,Мумии Древнего Египта. Искусство бессмертия 01 марта – 31 мая 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/mummies/index.php?lang=ru
Pushkin Museum,Ирина Затуловская. Бегство в Египет,Ирина Затуловская. Бегство в Египет 01 марта – 31 мая 2022,2022,transition_2022,https://pushkinmuseum.art/events/archive/2022/exhibitions/zatulovskaya/index.php?lang=ru
Pushkin Museum,Выставка «Случайная последовательность. Выпуск 1. Выставка художников анимации Урала»,Выставка «Случайная последовательность. Выпуск 1. Выставка художников анимации Урала» 25 декабря 2021 – 30 января 2022,2022,transition_2022,https://pushkinmuseum.art/museum/branches/ekb/events/vistavka_sluchaynaya_posledovatelnost._vipusk_1._vistavka_hudozhnikov_animacii_urala/index.php?lang=ru
