page_number,link_text,event_url
1,Christie’s и Sotheby’s подвели итоги года,https://artguide.ru/news/10450
1,Чугунные львы вернулись в усадьбу Кузьминки после реставрации,https://artguide.ru/news/10449
1,В Египте отреставрированы колоссы Мемнона,https://artguide.ru/news/10448
1,В Триполи вновь открылся Национальный музей Ливии,https://artguide.ru/news/10447
1,Лувр закрылся из-за забастовки,https://artguide.ru/news/10446
1,Третьяковка откроет музей в мастерской Булатова и Васильева,https://artguide.ru/news/10445
1,Третьяковка на Крымском Валу прекращает организацию выставок,https://artguide.ru/news/10444
1,Кураторами Биеннале Уитни станут Марсела Герреро и Дрю Сойер,https://artguide.ru/news/10443
1,"В организации, управляющей собором Санта-Мария-дель-Фьоре, похищено €30 млн",https://artguide.ru/news/10442
1,Ушла из жизни искусствовед Евгения Петрова,https://artguide.ru/news/10441
1,На Тайване открылся музей-библиотека Museumbrary,https://artguide.ru/news/10440
1,Ограблен Бристольский музей,https://artguide.ru/news/10439
1,Аманда де ла Гарса Мата стала президентом Международного комитета музеев и коллекций современного искусства,https://artguide.ru/news/10438
1,Рейксмузеум откроет филиал в Эйндховене,https://artguide.ru/news/10437
1,В Польше задержали петербургского археолога Александра Бутягина,https://artguide.ru/news/10436
1,Эрмитаж подал в суд на посетителя,https://artguide.ru/news/10435
1,Лауреатом премии Тернера стала Ннена Калу,https://artguide.ru/news/10433
1,Установлен рекорд цены на произведение дизайна,https://artguide.ru/news/10434
1,Клэр Табуре создала проекты витражей для собора Парижской Богоматери,https://artguide.ru/news/10432
1,В Москве открылся музей «Искусство Африки»,https://artguide.ru/news/10431
1,Космин Костинас и Инти Герреро станут художественными руководителями Иокогамской триеннале,https://artguide.ru/news/10430
1,Из библиотеки в Сан-Паулу похищены гравюры Матисса,https://artguide.ru/news/10429
1,Утечка воды в Лувре повредила около 400 книг,https://artguide.ru/news/10428
1,Наири Баграмян получила золотую медаль Art Basel Awards 2025 в категории «Признанный художник»,https://artguide.ru/news/10426
1,Лондонская Национальная галерея объявила о проекте Domani,https://artguide.ru/news/10425
1,Ушел из жизни архитектор Фрэнк Гери,https://artguide.ru/news/10424
1,Ибрагим Махама возглавил ежегодный рейтинг ArtReview Power 100,https://artguide.ru/news/10423
1,В ОАЭ открылся Национальный музей Заида,https://artguide.ru/news/10422
1,Москомархитектуру присоединили к Департаменту градостроительной политики,https://artguide.ru/news/10421
1,Установлен рекорд цены на яйцо Фаберже,https://artguide.ru/news/10420
1,В Санкт-Петербурге пройдет маркет современного искусства 1703,https://artguide.ru/news/10419
1,В Москве открывается музей «ЗИЛАРТ»,https://artguide.ru/news/10418
1,Цепь ям вокруг Стоунхенджа создана человеком,https://artguide.ru/news/10417
1,Пространство Коллекции Соннабенд открылось в Мантуе,https://artguide.ru/news/10416
1,Лувр повысит цены на билеты,https://artguide.ru/news/10415
1,При реставрации дворца «Монплезир» в Петергофе найдены фрагменты росписи XVIII века,https://artguide.ru/news/10414
1,Ушел из жизни коллекционер Михаил Алшибая,https://artguide.ru/news/10412
1,Ван Шу и Лу Вэньюй станут кураторами 20-й Венецианской архитектурной биеннале,https://artguide.ru/news/10410
1,Филадельфийский художественный музей обвинил бывшего гендиректора Сашу Суду в краже,https://artguide.ru/news/10409
1,В пространстве ТОН-ЦЕНТР пройдет ярмарка графики «Обертон»,https://artguide.ru/news/10408
1,Sotheby’s провел «русские торги»,https://artguide.ru/news/10407
1,Эксперт Christie’s обнаружил неизвестный рисунок Микеланджело,https://artguide.ru/news/10406
1,Работа Марины Федоровой установлена в парке скульптур DIFC,https://artguide.ru/news/10413
1,Дэниел Вейс стал генеральным директором Филадельфийского художественного музея,https://artguide.ru/news/10404
1,В Великом Новгороде появилась скульптура по мотивам картины Васи Ложкина,https://artguide.ru/news/10403
1,"Коллекционер пытается вернуть Sotheby’s картину, купленную на аукционе",https://artguide.ru/news/10402
1,«Америку» Каттелана купила франшиза «Ripley’s Believe It or Not!»,https://artguide.ru/news/10399
1,В Казахстане найден город возрастом 3600 лет,https://artguide.ru/news/10398
1,Открыт прием заявок на грантовый конкурс Фонда Потанина «Индустриальный эксперимент»,https://artguide.ru/news/10397
1,"Картина Климта продана за $236,4 млн",https://artguide.ru/news/10396
1,Пранкеры повесили в Лувре свой портрет,https://artguide.ru/news/10395
1,Исполняющей обязанности ректора Академии Сергея Андрияки назначена Софья Арустамова-Андрияка,https://artguide.ru/news/10394
1,Немецкий аукционный дом отменил продажу артефактов Холокоста,https://artguide.ru/news/10393
1,В России будет создан единый портал объектов культурного наследия,https://artguide.ru/news/10392
1,Государственный Эрмитаж повышает цены на входные билеты,https://artguide.ru/news/10391
1,Коллекция Филлипс продает картины из своего собрания,https://artguide.ru/news/10390
1,Из Национального музея Дамаска похищено шесть древнеримских статуй,https://artguide.ru/news/10389
1,Останкинский суд передал государству 272 картины Николая Рериха и его сыновей,https://artguide.ru/news/10388
1,Художница Марина Федорова представила проект на ярмарке ART021 в Шанхае,https://artguide.ru/news/10387
1,Фонд Потанина открыл прием заявок на конкурс «Креативный музей»,https://artguide.ru/news/10386
1,Бруклинская библиотека запустила программу аренды современного искусства,https://artguide.ru/news/10385
1,Открылась 15-я Шанхайская биеннале,https://artguide.ru/news/10384
1,Фонд поддержки искусства «Третье место» объявляет конкурс на получение кураторского гранта,https://artguide.ru/news/10383
1,В Пакистане обнаружен постоялый двор XVI века,https://artguide.ru/news/10382
1,Эрмитаж представит новый шрифт и обновит мобильную версию сайта,https://artguide.ru/news/10381
