museum,archive_year,raw_text,url
Jewish Museum and Tolerance Center,2019,Игра с шедеврами: от Анри Матисса до Марины Абрамович,https://www.jewish-museum.ru/exhibitions/bum-bam-igra-s-shedevrami-ot-anri-matissa-do-mariny-abramovich/
Jewish Museum and Tolerance Center,2019,Анна Франк. Дневники Холокоста,https://www.jewish-museum.ru/exhibitions/anna-frank-dnevniki-kholokosta/
Jewish Museum and Tolerance Center,2020,Дом для машин. Бахметьевский и другие гаражи,https://www.jewish-museum.ru/exhibitions/dom-dlya-mashiny-bakhmetevskiy-i-drugie-garazhi/
Jewish Museum and Tolerance Center,2020,«Исход»: выставка для родителей и детей,https://www.jewish-museum.ru/exhibitions/iskhod-vystavka-dlya-roditeley-i-detey-v-evreyskom-muzee/
Jewish Museum and Tolerance Center,2020,Неизвестный Берлин. Май 1945 года,https://www.jewish-museum.ru/exhibitions/neizvestnyy-berlin-may-1945-goda/
Jewish Museum and Tolerance Center,2020,(Не) время для любви,https://www.jewish-museum.ru/exhibitions/-ne-vremya-dlya-lyubvi/
Jewish Museum and Tolerance Center,2021,Как стать евреем? Будни и традиции еврейского детства,https://www.jewish-museum.ru/exhibitions/-kak-stat-evreem-budni-i-traditsii-evreyskogo-detstva/
Jewish Museum and Tolerance Center,2021,Несомной,https://www.jewish-museum.ru/exhibitions/nesomnoy-/
Jewish Museum and Tolerance Center,2021,Снег на траве,https://www.jewish-museum.ru/exhibitions/vystavka-sneg-na-trave-yuriya-norshteyna-i-francheski-yarbusovoy-/
Jewish Museum and Tolerance Center,2021,«Маленькое» искусство,https://www.jewish-museum.ru/exhibitions/malenkoe-iskusstvo/
Jewish Museum and Tolerance Center,2021,Праздник свободы. История и традиции Песаха,https://www.jewish-museum.ru/exhibitions/prazdnik-svobody/
Jewish Museum and Tolerance Center,2021,Шейнцис. Эссе в четырех картинах,https://www.jewish-museum.ru/exhibitions/sheyntsis-esse-v-chetyrekh-kartinakh/
Jewish Museum and Tolerance Center,2021,"Ни меры, ни названья, ни сравненья",https://www.jewish-museum.ru/exhibitions/ni-mery-ni-nazvanya-ni-sravnenya/
Jewish Museum and Tolerance Center,2022,"Мир как беспредметность. Рождение нового искусства: Казимир Малевич, Павел Филонов, Марк Шагал, Анна Лепорская и другие",https://www.jewish-museum.ru/exhibitions/mir-kak-bespredmetnost-rozhdenie-novogo-iskusstva-kazimir-malevich-pavel-filonov-mark-shagal-anna-le/
Jewish Museum and Tolerance Center,2022,Чувство дома,https://www.jewish-museum.ru/exhibitions/chuvstvo-doma/
Jewish Museum and Tolerance Center,2022,«Разгуляй. Прощание»: персональная выставка Семёна Файбисовича,https://www.jewish-museum.ru/exhibitions/razgulyay-proshchanie-personalnaya-vystavka-semyena-faybisovicha/
Jewish Museum and Tolerance Center,2022,Роман Мокров. Свой дом,https://www.jewish-museum.ru/exhibitions/roman-mokrov-svoy-dom/
Jewish Museum and Tolerance Center,2022,The Lonka Project. Человек под номером,https://www.jewish-museum.ru/exhibitions/the-lonka-project-chelovek-pod-nomerom/
Jewish Museum and Tolerance Center,2022,Инсталляция «Снегопад». Хаим Сокол,https://www.jewish-museum.ru/exhibitions/installyatsiya-snegopad-khaim-sokol/
Jewish Museum and Tolerance Center,2023,Юля,https://www.jewish-museum.ru/exhibitions/yulya/
Jewish Museum and Tolerance Center,2023,Тинькофф Город: Энди Уорхол и русское искусство,https://www.jewish-museum.ru/exhibitions/tinkoff-gorod-endi-uorkhol-i-russkoe-iskusstvo-2RanykCN8p8/
Jewish Museum and Tolerance Center,2023,Осенние и зимние праздники,https://www.jewish-museum.ru/exhibitions/osennie-i-zimnie-prazdniki/
Jewish Museum and Tolerance Center,2023,Процесс. Франц Кафка и искусство XX века,https://www.jewish-museum.ru/exhibitions/protsess-frants-kafka-i-iskusstvo-xx-veka/
Jewish Museum and Tolerance Center,2023,Так говорили мудрецы: выставка талмудов из коллекции Шнеерсонов,https://www.jewish-museum.ru/exhibitions/tak-govorili-mudretsy-vystavka-talmudov-iz-kollektsii-shneersonov/
Jewish Museum and Tolerance Center,2023,Лев Бородулин. Предугадать момент,https://www.jewish-museum.ru/exhibitions/lev-borodulin-predugadat-moment/
Jewish Museum and Tolerance Center,2023,Так говорили мудрецы: выставка Талмудов из собрания музея,https://www.jewish-museum.ru/exhibitions/tak-govorili-mudretsy-vystavka-talmudov-iz-sobraniya-muzeya/
Jewish Museum and Tolerance Center,2023,На языке правил и исключений. Наука и искусство,https://www.jewish-museum.ru/exhibitions/na-yazyke-pravil-i-isklyucheniy-nauka-i-iskusstvo/
Jewish Museum and Tolerance Center,2023,Бухарские евреи: на перекрестке цивилизаций,https://www.jewish-museum.ru/exhibitions/bukharskie-evrei-na-perekrestke-tsivilizatsii/
Jewish Museum and Tolerance Center,2023,Переплеты коллекции Шнеерсонов,https://www.jewish-museum.ru/exhibitions/pereplety-kollektsii-shneersonov/
Jewish Museum and Tolerance Center,2023,Выставка пасхальных аггадот в библиотеке Шнеерсона,https://www.jewish-museum.ru/exhibitions/vystavka-paskhalnykh-aggadot-v-biblioteke-shneersona2/
Jewish Museum and Tolerance Center,2023,Выставка книг семьи Соловей,https://www.jewish-museum.ru/exhibitions/vystavka-knig-semi-solovey/
