Unnamed: 0,title,date,url
73,«Он победил и время и пространство...» К 225-летию со дня рождения А.С. Пушкина,7 июня 2024,https://rusmuseum.ru/exhibitions/archive/on-pobedil-i-vremya-i-prostranstvo-k-225-letiyu-so-dnya-rozhdeniya-a-s-pushkina/
74,Для Славы Всероссийской. Предприниматели и меценаты в России XVIII — начала XX веков,6 июня 2024,https://rusmuseum.ru/exhibitions/archive/dlya-slavy-vserossiyskoy-predprinimateli-i-metsenaty-v-rossii-xviii-nachala-xx-vekov/
75,Империя после Петра. От Екатерины Первой до Елизаветы Петровны,1 июня 2024,https://rusmuseum.ru/exhibitions/archive/ot-petra-velikogo-do-elizavety-petrovny/
76,"«Сказки Пушкина». Выставочный проект по итогам Всероссийского конкурса детского творчества, приуроченного к 225-летию со дня рождения поэта.",31 мая 2024,https://rusmuseum.ru/exhibitions/archive/skazki-pushkina-vystavochnyy-proekt-po-itogam-vserossiyskogo-konkursa-detskogo-tvorchestva-priuroche/
77,Дар Владимира Некрасова Русскому музею,29 мая 2024,https://rusmuseum.ru/exhibitions/archive/russkoe-iskusstvo-vtoroy-poloviny-xx-nachala-xxi-vekov-izbrannoe-iz-dara-v-i-nekrasova/
78,Натюрморт 1920–1930-х годов,22 мая 2024,https://rusmuseum.ru/exhibitions/archive/natyurmort-1920-1930-kh-godov/
79,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/olga-rozanova/
80,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/zhivopisnykh-del-master-k-325-letiyu-so-dnya-rozhdeniya-ivana-yakovlevicha-vishnyakova/
81,Спасенные шедевры. Русский музей – Таганрогу,24 апреля 2024,https://rusmuseum.ru/exhibitions/archive/spasennye-shedevry-russkiy-muzey-taganrogu/
82,Рисунки и акварели передвижников,21 марта 2024,https://rusmuseum.ru/exhibitions/archive/risunki-i-akvareli-peredvizhnikov/
83,Мстислав Владимирович Фармаковский. К 150-летию художника,15 марта 2024,https://rusmuseum.ru/exhibitions/archive/mstislav-vladimirovich-farmakovskiy-k-150-letiyu-khudozhnika/
84,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/anna-semenovna-golubkina-1864-1927-k-160-letiyu-so-dnya-rozhdeniya/
85,"Выставочный проект «Модуляции: звук, свет, движение»",9 февраля 2024,https://rusmuseum.ru/exhibitions/archive/vystavochnyy-proekt-modulyatsii-zvuk-svet-dvizhenie-/
86,Помним! К 80-летию полного освобождения Ленинграда от фашистской блокады,27 января 2024,https://rusmuseum.ru/exhibitions/archive/pomnim-k-80-letiyu-polnogo-osvobozhdeniya-leningrada-ot-fashistskoy-blokady/
87,Максим Никифорович Воробьев и его ученики,24 января 2024,https://rusmuseum.ru/exhibitions/archive/maksim-nikiforovich-vorobev-i-ego-ucheniki/
88,Мультимедийная выставка «Художники блокады» с интерактивной мастерской,22 января 2024,https://rusmuseum.ru/exhibitions/archive/multimediynaya-vystavka-khudozhniki-blokady-s-interaktivnoy-masterskoy/
89,«Одним дыханьем с Ленинградом»,19 января 2024,https://rusmuseum.ru/exhibitions/archive/odnim-dykhanem-s-leningradom/
